action,centroid,count,crest,fft_kurtosis,fft_mean,fft_skewness,fft_variance,flatness,item,kurtosis,maximum,mean,mean_diff,median,minimum,path,percentile_25,percentile_75,rolloff,shelf_type,skewness,spread,standard_dev,variance
drop,330.057934348846,17000.0,0.13244306823518062,6460.328561291636,30870.84252079022,75.71784408741497,162758237924.9891,0.1336971718314496,butter,-0.41827321023139996,4094.0,2044.5550588235294,-5.882698982293076e-05,2046.0,48.0,.\data\data_butter_shelf_wood_drop321.csv,1450.0,2647.0,588.1660981061052,wood,0.027858280042226687,689.7248550746118,1127.3288222409624,1270870.2734551951
drop,214.64648741218008,12000.0,0.1686389109257731,4228.556855255383,24172.9497320748,60.977505113938555,118860513229.95749,0.0667965416727342,butter,-0.8131347520214662,4094.0,2038.5896666666667,0.01158429869155763,2022.0,49.0,.\data\data_butter_shelf_wood_drop326.csv,1309.75,2760.0,329.1118146975504,wood,0.05627173525104997,487.15868790070226,1282.1222026020498,1643837.3424051318
drop,426.3716616133772,14500.0,0.14641847690436938,5168.843210502029,27930.89960915131,67.57557732365869,143702877634.06796,0.18970500683491306,butter,-0.7176270092681358,4094.0,2045.0819310344827,-0.003793365059659287,2032.0,48.0,.\data\data_butter_shelf_wood_drop331.csv,1387.0,2668.0,761.274306992139,wood,0.054559969491149204,839.3608518986903,1265.3498696478775,1601110.2926179005
drop,357.60746433721505,14500.0,0.12887773702294053,5030.082445556631,31768.323358839116,66.37807562822303,146064385907.60522,0.14073509841173337,butter,-0.9138294972896586,4094.0,2047.3971724137932,-0.0015173460238637148,2028.0,49.0,.\data\data_butter_shelf_wood_drop336.csv,1211.0,2859.0,615.0875741277065,wood,0.04996329420023624,688.548948755256,1326.9731915160933,1760857.8510024066
drop,245.47155294521252,12500.0,0.18740768112139702,4638.3332552193415,21789.883749221128,64.35029497341996,120969435915.89484,0.08313229924012722,butter,-0.5220208163641233,4094.0,2042.12248,-0.010960876870149612,2040.0,47.0,.\data\data_butter_shelf_wood_drop341.csv,1433.0,2646.0,420.7326827707567,wood,0.04024390809809607,544.2918023138384,1173.317931762798,1376674.96899613
drop,291.2141047637884,14000.0,0.1436796728045995,4777.817694508329,28482.679619117964,64.74358822654176,142235950191.73737,0.10032032020431007,butter,-1.0332553060775722,4094.0,2046.4833571428571,-0.0143581684406029,2030.0,48.0,.\data\data_butter_shelf_wood_drop346.csv,1068.0,2996.0,501.3569490072847,wood,0.04569803441281979,587.6318193470138,1357.5938782919595,1843061.1383758038
drop,432.51257989371464,12500.0,0.12863131254881824,4171.572628574325,31917.019224613647,60.30232796108199,129265443835.72409,0.1767530365203633,butter,-1.1617661301077462,4094.0,2053.09248,-0.00752060164813185,2040.5,48.0,.\data\data_butter_shelf_wood_drop351.csv,875.0,3212.0,854.2633178691409,wood,0.031290127508309666,780.0428411271175,1412.1547027998608,1994180.904639763
drop,324.8446830279854,12500.0,0.2446123508023894,4615.719872456184,16663.86164398431,64.84946288981058,121237247877.15698,0.1449567201492047,butter,-0.5203620905946087,4094.0,2038.41928,0.16609328746299704,2025.0,46.0,.\data\data_butter_shelf_wood_drop356.csv,1465.0,2590.25,457.52679571268595,wood,0.057377645742012255,765.070282851428,1188.5102611990953,1412556.640975542
drop,245.0252624274737,13500.0,0.1702955719675542,5363.687273356813,23900.5599787214,69.7176467302472,125267177914.27005,0.07648416198107716,butter,0.22743685661074675,4094.0,2035.3812592592592,-0.004370694125490777,2031.5,49.0,.\data\data_butter_shelf_wood_drop36.csv,1675.0,2384.25,419.1971559768923,wood,0.04654391477529282,512.9439345803328,1018.463590532459,1037268.0852402681
drop,310.4261449915716,14000.0,0.17325130733648925,5399.588581764745,23432.89530200017,69.63574816292814,131222265185.13615,0.13474095184237952,butter,-0.06336265135691699,4094.0,2030.1798571428571,0.13729552110865062,2025.0,47.0,.\data\data_butter_shelf_wood_drop361.csv,1719.0,2336.0,466.36194829310097,wood,0.03830692996456836,712.3574300664058,1081.8540097978153,1170408.0985156111
drop,394.71671963947415,11500.0,0.1576079670650736,4521.663903857402,25921.05514839804,63.844788467713265,108015249402.24637,0.18290216786988897,butter,0.27676524245049583,4094.0,2043.037652173913,0.0003478563353335073,2032.0,51.0,.\data\data_butter_shelf_wood_drop366.csv,1736.0,2323.0,670.3182055294732,wood,0.0710236927796803,842.4255466582964,1051.090183665256,1104790.5741974618
drop,391.7000431510495,5000.0,0.16726346714526422,1800.42806201875,24693.164411659924,39.67878187860115,50046248744.07484,0.17050959613773803,butter,-0.6652152340916255,4094.0,2065.9582,-0.004400880176035207,2039.0,51.0,.\data\data_butter_shelf_wood_drop371.csv,1507.0,2569.0,695.7217113154738,wood,0.04227947681678859,788.6936389302404,1264.5970852450864,1599205.7880103684
drop,349.3142157900115,8500.0,0.17812079225293462,3496.081985012586,22921.16760171947,56.620129041234186,77908859904.40129,0.14117655511057978,butter,0.9052297746744888,4094.0,2041.848588235294,0.0017649135192375574,2027.0,51.0,.\data\data_butter_shelf_wood_drop376.csv,1784.0,2269.0,655.1399670665726,wood,0.08249607193693638,705.296311764435,944.2152237531839,891542.388767275
drop,634.9540941553535,14000.0,0.10207012334684964,4738.813669004869,41170.67580530193,63.7288952330639,150090512556.82797,0.2916173146217795,butter,-1.1485954297825711,4094.0,2101.448142857143,0.005714693906707622,2058.0,42.0,.\data\data_butter_shelf_wood_drop381.csv,1033.0,3386.25,1466.9332952435366,wood,0.0006039510972235965,1076.7542570890107,1418.2199343375846,2011347.782152503
drop,460.1229748776741,8500.0,0.18565525512494577,3215.7959327481085,21973.84917134208,53.98282448794433,81308070019.0552,0.21517247350220248,butter,-0.3723974083809929,4094.0,2040.2602352941176,-0.0030591834333450994,2034.0,50.0,.\data\data_butter_shelf_wood_drop386.csv,1467.75,2582.0,880.9691837214773,wood,0.08302724756624605,913.2811722148249,1139.979993361334,1299554.385264107
drop,287.5333272664159,20500.0,0.13532018629366604,7528.303349528093,30134.5685690324,81.34723723914034,198727748531.77405,0.10634877320688127,butter,-0.5559783639146096,4094.0,2039.1066341463415,0.0034635835894433874,2031.0,48.0,.\data\data_butter_shelf_wood_drop391.csv,1451.75,2620.0,463.85718466491073,wood,0.042334963285890544,609.4764419110998,1193.0806686356784,1423441.4818721574
drop,444.97504203835234,12000.0,0.1503293592006632,4290.560500662758,27135.298008519552,61.70813417279861,118141899581.24577,0.19244781806791378,butter,-0.6043037059941896,4094.0,2039.9559166666666,0.0025002083506958915,2028.0,50.0,.\data\data_butter_shelf_wood_drop396.csv,1580.5,2453.5,841.5264122646225,wood,0.0654450764231289,829.7021008016607,1259.1511380446211,1585461.5884390648
drop,331.5719104769613,6000.0,0.198787793005964,2195.9289627799285,20534.062804359888,44.281444845498434,58353327398.433044,0.14529938482824295,butter,-0.5852385088534744,4094.0,2041.6408333333334,-0.35139189864977494,2038.0,48.0,.\data\data_butter_shelf_wood_drop401.csv,1424.75,2641.0,496.5011662779074,wood,0.04338436755665024,733.5076083446764,1209.4393918008932,1462743.6424397146
drop,401.71654754847305,19000.0,0.11943857757852366,6674.3052933465515,34191.378413853185,76.06771091276062,188882715747.41034,0.16567626778483843,butter,-0.893480898504893,4094.0,2042.0997368421054,0.006737196694562872,2029.0,46.0,.\data\data_butter_shelf_wood_drop406.csv,1171.0,2878.0,729.9231659825282,wood,0.05515322090092043,768.9530265791217,1289.7760686974145,1663522.3073845576
drop,275.9685743904871,16000.0,0.14497602289316622,5669.690499474216,28139.59662251006,70.45930442884091,158155787243.26804,0.09181040790480406,butter,-0.7668014150059723,4094.0,2040.038375,-0.002875179698731171,2030.0,48.0,.\data\data_butter_shelf_wood_drop41.csv,1310.75,2721.25,453.0683664541932,wood,0.06036954271123401,559.663865078822,1269.667632205688,1612055.8962707985
drop,332.2861870283331,6500.0,0.17839497534631807,2493.028565744934,22944.480003914534,47.22022723957621,61978322289.83843,0.12575954180582868,butter,-0.260774503025591,4094.0,2047.2196923076924,0.006924142175719341,2050.0,50.0,.\data\data_butter_shelf_wood_drop411.csv,1520.0,2563.25,624.4232543832667,wood,-0.017150808862533076,665.2536171322779,1112.227885140584,1237050.8684842961
